Time [s],MideaIR
582.621307250,1
582.621877750,0
582.622382250,1
582.622953000,0
582.623457500,1
582.625102750,0
582.625607250,1
582.627252750,0
582.627757000,1
582.629402250,0
582.629907000,1
582.631552250,0
582.632056750,1
582.632627250,0
582.633131750,1
582.633702250,0
582.634206500,1
609.640905500,0
609.645296750,1
609.649686500,0
609.650222250,1
609.651837250,0
609.652372250,1
609.652911000,0
609.653447000,1
609.655061750,0
609.655596500,1
609.657211500,0
609.657718750,1
609.658285750,0
609.658794000,1
609.659361000,0
609.659869000,1
609.661511250,0
609.662019000,1
609.662586000,0
609.663094000,1
609.663660750,0
609.664168750,1
609.665810750,0
609.666318750,1
609.666885750,0
609.667393750,1
609.667932250,0
609.668468500,1
609.670110500,0
609.670618500,1
609.672260250,0
609.672768250,1
609.673335250,0
609.673843500,1
609.675486000,0
609.675993250,1
609.677635500,0
609.678143250,1
609.678709500,0
609.679218250,1
609.680860250,0
609.681368000,1
609.683010250,0
609.683518000,1
609.685161000,0
609.685668000,1
609.687310250,0
609.687817750,1
609.689460000,0
609.689967750,1
609.691609750,0
609.692117500,1
609.692684000,0
609.693192250,1
609.694834250,0
609.695369750,1
609.695909000,0
609.696445000,1
609.696984500,0
609.697520250,1
609.698059500,0
609.698595250,1
609.699134500,0
609.699670000,1
609.700209250,0
609.700745000,1
609.701284000,0
609.701820250,1
609.703434750,0
609.703970250,1
609.705584250,0
609.706120000,1
609.706659000,0
609.707195000,1
609.707734250,0
609.708269750,1
609.709884000,0
609.710419750,1
609.712034000,0
609.712569500,1
609.713108750,0
609.713644250,1
609.714183000,0
609.714719250,1
609.715258500,0
609.715794250,1
609.716333250,0
609.716869500,1
609.718483500,0
609.719019000,1
609.720633500,0
609.721169000,1
609.721708250,0
609.722244000,1
609.722783500,0
609.723318750,1
609.724933500,0
609.725468000,1
609.727083000,0
609.727618250,1
609.732825000,0
609.737215000,1
609.741608750,0
609.742139500,1
609.743757750,0
609.744264000,1
609.744833000,0
609.745338750,1
609.746983000,0
609.747488000,1
609.749132750,0
609.749637500,1
609.750207750,0
609.750690000,1
609.751282750,0
609.751765250,1
609.753432750,0
609.753915000,1
609.754507500,0
609.754990000,1
609.755582750,0
609.756065000,1
609.757732500,0
609.758214750,1
609.758807250,0
609.759289500,1
609.759882250,0
609.760364000,1
609.762032250,0
609.762514000,1
609.764182000,0
609.764664000,1
609.765256750,0
609.765739000,1
609.767406750,0
609.767888750,1
609.769556250,0
609.770038750,1
609.770630750,0
609.771114000,1
609.772780250,0
609.773263500,1
609.774930000,0
609.775413500,1
609.777079750,0
609.777563500,1
609.779229500,0
609.779713250,1
609.781379000,0
609.781863500,1
609.783528750,0
609.784013250,1
