Time [s],Channel 6,Channel 7
14.987143000,1,1
14.987162250,1,0
14.987163500,0,0
14.987183000,0,1
14.987184750,1,1
14.987203750,1,0
14.987205250,0,0
14.987224750,0,1
14.987226250,1,1
14.987287000,1,0
14.987288500,0,0
14.987308000,0,1
14.987309500,1,1
14.987328750,1,0
14.987330000,0,0
14.987349500,0,1
14.987351250,1,1
14.987370250,1,0
14.987371750,0,0
14.987391250,0,1
14.987392750,1,1
14.987412000,1,0
14.987413250,0,0
14.987432750,0,1
14.987434500,1,1
14.987453500,1,0
14.987455000,0,0
14.987474500,0,1
14.987476000,1,1
14.987495250,1,0
14.987496500,0,0
14.987516000,0,1
14.987517750,1,1
14.987536750,1,0
14.987538250,0,0
14.987557750,0,1
14.987559250,1,1
14.987578500,1,0
14.987579750,0,0
14.987599250,0,1
14.987601000,1,1
14.987620000,1,0
14.987621500,0,0
14.987641000,0,1
14.987642500,1,1
14.987661750,1,0
14.987663250,0,0
14.987682500,0,1
14.987684250,1,1
14.987703250,1,0
14.987704750,0,0
14.987724250,0,1
14.987725750,1,1
14.987745000,1,0
14.987746500,0,0
14.987765750,0,1
14.987767500,1,1
14.987786750,1,0
14.987788000,0,0
14.987807500,0,1
14.987809250,1,1
14.987828250,1,0
14.987829750,0,0
14.987849000,0,1
14.987850750,1,1
14.987870000,1,0
14.987871250,0,0
14.987890750,0,1
14.987892500,1,1
14.987911500,1,0
14.987913000,0,0
14.987932250,0,1
14.987934000,1,1
14.987953250,1,0
14.987954500,0,0
14.987974000,0,1
14.987975750,1,1
14.987994750,1,0
14.987996250,0,0
14.988015500,0,1
14.988017250,1,1
14.988036500,1,0
14.988037750,0,0
14.988057250,0,1
14.988059000,1,1
14.988078000,1,0
14.988079500,0,0
14.988099000,0,1
14.988100500,1,1
14.988119750,1,0
14.988121000,0,0
14.988140500,0,1
14.988142250,1,1
14.988161250,1,0
14.988162750,0,0
14.988182250,0,1
14.988183750,1,1
14.988203000,1,0
14.988204250,0,0
14.988223750,0,1
14.988225500,1,1
14.988244500,1,0
14.988246000,0,0
14.988265500,0,1
14.988267000,1,1
14.988286250,1,0
14.988287500,0,0
14.988307000,0,1
14.988308750,1,1
14.988327750,1,0
14.988329250,0,0
14.988348750,0,1
14.988350250,1,1
14.988369500,1,0
14.988371000,0,0
14.988390250,0,1
14.988392000,1,1
14.988411000,1,0
14.988412500,0,0
14.988432000,0,1
14.988433750,1,1
14.988452750,1,0
14.988454250,0,0
14.988473500,0,1
14.988475250,1,1
14.988494250,1,0
14.988495750,0,0
14.988515250,0,1
14.988517000,1,1
14.988536000,1,0
14.988537500,0,0
14.988556750,0,1
14.988558500,1,1
14.988577500,1,0
14.988579000,0,0
