channel,start_time,packet_len,packet_content,start_byte,valid_start
bidirectionalExtensionBoard,11.91430825,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FC 40 DD 00 16,0xAA,True
master,12.0158125,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,12.0359045,31,AA C0 00 00 00 00 10 30 84 80 58 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
bidirectionalExtensionBoard,12.11283375,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 98 00 00 00 00 80 80 80 80 00 00 60 00 EF,0x55,True
master,12.31596425,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,12.33608875,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 58 BC D6 32 98 00 00 00 00 00 00 00 3F,0xAA,True
master,12.61595975,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,12.63585225,31,AA C0 00 00 00 00 10 30 84 80 58 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
master,12.916247,31,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 80 8C,0xAA,True
bidirectionalExtensionBoard,13.013435,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 81 1C EB 00 3A,0xAA,True
bidirectionalExtensionBoard,13.2107085,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 41 35 38 00 04 E4 03 4C 78 39 3C 38 00 00 00 00 00 00 00 00 00 3F 00 EF,0x55,True
master,13.2161695,15,AA C0 07 00 00 00 00 00 00 00 00 00 00 3F FA,0xAA,True
master,13.51644625,31,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 80 8C,0xAA,True
master,13.81635825,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,13.836458,31,AA C0 00 00 00 00 10 30 84 80 58 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
bidirectionalExtensionBoard,14.11259875,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0B AA 60 00 AC,0xAA,True
master,14.11628075,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,14.1363055,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 58 BC D6 32 98 00 00 00 00 00 00 00 3F,0xAA,True
master,14.30631375,15,AA C3 00 00 00 00 84 80 57 00 00 00 00 3C A6,0xAA,True
bidirectionalExtensionBoard,14.310667,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 42 7F 7F 00 00 00 00 00 00 40 01 00 00 00 00 00 00 00 00 00 00 C8 00 EF,0x55,True
slave,14.326405,31,AA C3 00 00 00 00 10 30 84 80 57 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7D,0xAA,True
master,14.366713,15,AA C6 00 00 00 00 00 00 00 00 46 17 00 39 A4,0xAA,True
slave,14.38685075,31,AA C6 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 32 98 00 00 00 00 00 00 00 3E,0xAA,True
bidirectionalExtensionBoard,14.5373035,38,AA BC 22 AC 00 00 00 00 00 03 02 40 01 87 66 00 00 00 30 80 00 00 00 00 00 00 00 00 00 00 00 00 00 0C 58 87 00 FE,0xAA,True
master,14.666448,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,14.686576,31,AA C0 00 00 00 00 10 30 84 80 57 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 80,0xAA,True
bidirectionalExtensionBoard,14.73495275,44,55 BC 28 AC 00 00 00 00 00 03 02 C0 01 87 66 7F 7F 00 00 80 00 00 60 3C 0B 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 13 00 EF,0x55,True
master,14.96658925,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,14.986496,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 32 98 00 00 00 00 00 00 00 40,0xAA,True
bidirectionalExtensionBoard,14.98717725,38,AA BC 22 AC 00 00 00 00 00 03 02 93 80 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0D 1F 4D 00 37,0xAA,True
bidirectionalExtensionBoard,15.184544,44,55 BC 28 AC 00 00 00 00 00 03 02 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 98 00 00 00 00 80 80 80 80 00 00 61 00 EF,0x55,True
master,15.2667305,31,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B,0xAA,True
bidirectionalExtensionBoard,15.43652825,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 01 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0E 8D 40 00 C9,0xAA,True
master,15.56669475,15,AA C4 08 00 00 00 A5 5A 00 00 00 00 00 3B FA,0xAA,True
master,15.83700625,15,AA C3 00 00 00 00 84 80 56 00 00 00 00 3C A7,0xAA,True
slave,15.857069,31,AA C3 00 00 00 00 10 30 84 80 56 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7E,0xAA,True
master,15.906741,15,AA C6 00 00 00 00 00 00 00 00 46 17 00 39 A4,0xAA,True
slave,15.92675825,31,AA C6 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 56 BC D6 32 98 00 00 00 00 00 00 00 3F,0xAA,True
master,16.2067885,15,AA C0 08 00 00 00 00 00 00 00 00 00 00 3F F9,0xAA,True
master,16.50695075,31,AA D0 20 01 00 84 80 56 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 05 09,0xAA,True
bidirectionalExtensionBoard,16.5955905,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 01 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0E 8D 40 00 C9,0xAA,True
bidirectionalExtensionBoard,16.79276875,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 87 66 7F 7F 00 00 80 00 00 60 3C 0B 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 12 00 EF,0x55,True
master,16.8068835,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,16.82689475,31,AA C0 00 00 00 00 10 30 84 80 56 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 81,0xAA,True
bidirectionalExtensionBoard,17.045298,38,AA BC 22 AC 00 00 00 00 00 03 02 40 01 86 66 00 00 00 30 80 00 00 00 00 00 00 00 00 00 00 00 00 00 0F 50 85 00 06,0xAA,True
