Time [s],MideaIR
120.453042625,1
120.453608125,0
120.454117500,1
120.455758125,0
120.456267250,1
120.457908375,0
120.458417375,1
120.460058625,0
120.460567375,1
120.461133500,0
120.461642125,1
120.462208250,0
120.462716875,1
120.464358750,0
120.464867000,1
120.465434000,0
120.465942250,1
120.467584125,0
120.468091625,1
120.468658875,0
120.469166500,1
120.469734000,0
120.470241500,1
120.470809250,0
120.471316250,1
120.472959375,0
120.473466250,1
120.475109750,0
120.475616250,1
120.476184625,0
120.476690875,1
120.478335375,0
120.478841375,1
120.480485125,0
120.480991000,1
120.482635500,0
120.483141000,1
120.484785625,0
120.485291000,1
120.485860750,0
120.486366000,1
120.488011125,0
120.488515875,1
120.490161375,0
120.490666125,1
120.492311625,0
120.492816000,1
120.493386500,0
120.493891250,1
120.494461625,0
120.494966250,1
120.495536625,0
120.496041375,1
120.496612000,0
120.497116375,1
120.498762125,0
120.499266625,1
120.499837125,0
120.500341750,1
120.500912250,0
120.501417000,1
120.501987500,0
120.502492125,1
120.503062750,0
120.503567000,1
120.504137500,0
120.504642250,1
120.505212625,0
120.505717000,1
120.506287875,0
120.506792250,1
120.507363000,0
120.507867250,1
120.508438000,0
120.508942375,1
120.510588250,0
120.511092625,1
120.511663500,0
120.512167750,1
120.513813875,0
120.514318125,1
120.515963875,0
120.516468000,1
120.518114000,0
120.518618250,1
120.520264250,0
120.520768375,1
120.522414375,0
120.522918625,1
120.524564750,0
120.525069000,1
120.525640000,0
120.526144000,1
120.527790000,0
120.528294125,1
122.067787750,0
122.072182625,1
122.076570375,0
122.077107375,1
122.078718875,0
122.079282625,1
122.079796250,0
122.080357500,1
122.081944750,0
122.082483125,1
122.084096375,0
122.084657875,1
122.086246750,0
122.086807875,1
122.087321875,0
122.087883250,1
122.088394750,0
122.088957875,1
122.090546625,0
122.091108375,1
122.091621125,0
122.092183000,1
122.093771500,0
122.094333000,1
122.094845750,0
122.095408375,1
122.095920375,0
122.096483875,1
122.096996000,0
122.097559375,1
122.099146750,0
122.099709000,1
122.101296500,0
122.101859250,1
122.102372750,0
122.102934375,1
122.104523000,0
122.105085250,1
122.106673875,0
122.107234875,1
122.108824500,0
122.109385000,1
122.110973375,0
122.111535375,1
122.112047500,0
122.112610250,1
122.114198250,0
122.114760750,1
122.116349125,0
122.116910750,1
122.118499000,0
122.119061000,1
122.119573500,0
122.120136250,1
122.120649000,0
122.121210875,1
122.121724375,0
122.122285625,1
122.122798625,0
122.123360625,1
122.124949125,0
122.125510125,1
122.126024125,0
122.126561000,1
122.127099375,0
122.127635875,1
122.128174125,0
122.128710875,1
122.129249750,0
122.129785875,1
122.130324750,0
122.130860875,1
122.131400000,0
122.131936000,1
122.132474875,0
122.133011125,1
122.133549875,0
122.134086250,1
122.134624750,0
122.135184625,1
122.135699625,0
122.136259500,1
122.137849875,0
122.138409375,1
122.140000625,0
122.140559250,1
122.142150125,0
122.142709625,1
122.144300625,0
122.144859375,1
122.146450875,0
122.147009000,1
122.148600875,0
122.149135000,1
122.150750625,0
122.151285000,1
122.152901625,0
122.153435125,1
122.153977250,0
122.154510000,1
122.159719000,0
122.164110125,1
122.168526250,0
122.169035625,1
122.170675750,0
122.171185125,1
122.171750750,0
122.172260125,1
122.173901000,0
122.174409875,1
122.176051000,0
122.176559750,1
122.178201125,0
122.178709875,1
122.179276375,0
122.179785125,1
122.180351375,0
122.180859875,1
122.182501750,0
122.183009750,1
122.183576625,0
122.184084625,1
122.185727000,0
122.186234500,1
122.186801875,0
122.187309500,1
122.187877125,0
122.188384250,1
122.188952000,0
122.189459125,1
122.191102625,0
122.191609375,1
122.193252875,0
122.193759250,1
122.194327625,0
122.194834125,1
122.196478125,0
122.196984125,1
122.198628375,0
122.199134000,1
122.200778500,0
122.201284000,1
122.202928875,0
122.203434375,1
122.204003750,0
122.204509125,1
122.206154125,0
122.206659250,1
122.208304750,0
122.208809000,1
122.210454375,0
122.210959000,1
122.211529500,0
122.212034125,1
122.212604875,0
122.213109250,1
122.213679750,0
122.214184125,1
122.214754875,0
122.215259500,1
122.216905500,0
122.217409625,1
122.217980125,0
122.218484625,1
122.219055250,0
122.219559500,1
122.220130375,0
122.220634875,1
122.221205375,0
122.221709875,1
122.222280500,0
122.222785000,1
122.223355750,0
122.223860000,1
122.224430625,0
122.224935125,1
122.225505875,0
122.226010125,1
122.226580875,0
122.227085250,1
122.227656125,0
122.228160375,1
122.229806500,0
122.230310750,1
122.231956500,0
122.232460750,1
122.234106750,0
122.234610875,1
122.236256750,0
122.236761000,1
122.238407000,0
122.238911250,1
122.240557375,0
122.241061375,1
122.242707500,0
122.243211250,1
122.244857500,0
122.245361625,1
122.245932375,0
122.246436750,1
128.881193250,0
128.885613875,1
128.889977000,0
128.890539375,1
128.892126250,0
128.892689750,1
128.894276625,0
128.894840125,1
128.895352625,0
128.895915500,1
128.896427750,0
128.896990000,1
128.897504125,0
128.898066125,1
128.898578375,0
128.899140500,1
128.900727125,0
128.901266250,1
128.902879000,0
128.903441000,1
128.903953625,0
128.904516500,1
128.906104125,0
128.906667250,1
128.907179500,0
128.907717250,1
128.908254750,0
128.908817250,1
128.909330250,0
128.909892875,1
128.911481625,0
128.912043000,1
128.912555750,0
128.913118625,1
128.914708625,0
128.915268750,1
128.916858125,0
128.917419000,1
128.917931625,0
128.918493625,1
128.919006125,0
128.919569125,1
128.921156250,0
128.921719125,1
128.923307250,0
128.923870125,1
128.925458500,0
128.926020125,1
128.927607750,0
128.928170250,1
128.929758000,0
128.930320750,1
128.930834250,0
128.931395875,1
128.932983625,0
128.933546125,1
128.935133875,0
128.935695875,1
128.936209000,0
128.936745750,1
128.937284875,0
128.937821125,1
128.938359250,0
128.938896125,1
128.939434125,0
128.939971250,1
128.940509625,0
128.941046250,1
128.941584875,0
128.942121250,1
128.943735125,0
128.944271500,1
128.945885750,0
128.946421750,1
128.946960875,0
128.947496875,1
128.948035750,0
128.948571875,1
128.949110625,0
128.949670875,1
128.950186500,0
128.950746250,1
128.951261250,0
128.951820375,1
128.952336375,0
128.952895750,1
128.954486500,0
128.955045625,1
128.956637125,0
128.957195500,1
128.957712250,0
128.958270125,1
128.959862875,0
128.960396625,1
128.960938125,0
128.961471750,1
128.962013625,0
128.962546625,1
128.964164000,0
128.964696875,1
128.969906750,0
128.974297750,1
128.978714250,0
128.979246250,1
128.980864000,0
128.981373125,1
128.983014375,0
128.983523750,1
128.984089500,0
128.984598500,1
128.985164500,0
128.985673250,1
128.986239625,0
128.986748250,1
128.987314875,0
128.987823375,1
128.989465000,0
128.989973375,1
128.991615375,0
128.992123375,1
128.992690625,0
128.993198500,1
128.994841125,0
128.995348625,1
128.995916250,0
128.996423500,1
128.996991500,0
128.997498500,1
128.998066625,0
128.998573375,1
129.000216875,0
129.000723500,1
129.001292000,0
129.001798500,1
129.003442375,0
129.003948625,1
129.005592750,0
129.006098625,1
129.006668000,0
129.007173625,1
129.007743125,0
129.008248625,1
129.009893625,0
129.010398625,1
129.012043875,0
129.012548750,1
129.014194000,0
129.014698750,1
129.016344500,0
129.016848875,1
129.018494875,0
129.018999250,1
129.019569750,0
129.020074375,1
129.020644875,0
129.021149375,1
129.021720125,0
129.022224375,1
129.022795125,0
129.023299375,1
129.023870000,0
129.024374625,1
129.024945250,0
129.025449875,1
129.026020500,0
129.026524750,1
129.028171000,0
129.028675000,1
129.030321125,0
129.030825375,1
129.032471500,0
129.032975625,1
129.034621625,0
129.035125875,1
129.036771875,0
129.037276000,1
129.038922125,0
129.039426375,1
129.041072125,0
129.041576375,1
129.043222625,0
129.043726625,1
129.044297750,0
129.044801875,1
129.046448000,0
129.046952000,1
129.048598000,0
129.049102000,1
129.049672875,0
129.050177125,1
129.050748125,0
129.051252250,1
129.051823250,0
129.052327500,1
129.053973500,0
129.054477625,1
129.055048750,0
129.055552875,1
129.057198875,0
129.057702875,1
129.077783375,0
129.082145875,1
129.086568125,0
